iter	Logloss
0	0.6896725772
1	0.6840035942
2	0.6784911424
3	0.6726585131
4	0.6659867362
5	0.6602370444
6	0.6544571351
7	0.6500395014
8	0.6447846916
9	0.6418760064
10	0.6367787136
11	0.631559822
12	0.6262803667
13	0.6206929496
14	0.6163622824
15	0.6119481633
16	0.6079552468
17	0.6032971157
18	0.5987748135
19	0.5940673485
20	0.5889158785
21	0.5840918723
22	0.5799558832
23	0.5755852689
24	0.5725374543
25	0.5690865677
26	0.5652749565
27	0.5622883486
28	0.5604733242
29	0.5577295282
30	0.5541497991
31	0.551162634
32	0.5479263134
33	0.5444749125
34	0.5414601015
35	0.5388062724
36	0.5355231039
37	0.5340410725
38	0.53258763
39	0.5299330293
40	0.5270717492
41	0.5243246529
42	0.5212073165
43	0.5197217277
44	0.5165920472
45	0.5138144332
46	0.5113764988
47	0.5081713816
48	0.5056543243
49	0.5031487969
50	0.5008534206
51	0.4992360319
52	0.4963500205
53	0.4940204835
54	0.491718978
55	0.4894895661
56	0.4873585647
57	0.4864089194
58	0.4853084436
59	0.4829162426
60	0.4808238169
61	0.4786649983
62	0.4770890139
63	0.4751884803
64	0.4733547254
65	0.4714040006
66	0.4693815253
67	0.4678111987
68	0.4658504872
69	0.4641592047
70	0.462414988
71	0.4606278666
72	0.4590292941
73	0.457881156
74	0.4564656461
75	0.4554142041
76	0.4536892323
77	0.4527093694
78	0.4513752112
79	0.4495095242
80	0.4478945357
81	0.4466449866
82	0.4454443428
83	0.4441374447
84	0.4429602462
85	0.4416045714
86	0.4399260189
87	0.4382893423
88	0.4371742934
89	0.4364741036
90	0.4352074527
91	0.4337459521
92	0.4328531415
93	0.432317498
94	0.4315275557
95	0.4302958799
96	0.4289576927
97	0.4279473551
98	0.4267531834
99	0.4255107923
100	0.4243061194
101	0.4232819804
102	0.4220839083
103	0.4210998021
104	0.4199889108
105	0.4191092159
106	0.4187847523
107	0.4179005998
108	0.416959784
109	0.4159993375
110	0.415612853
111	0.4148094092
112	0.4139116266
113	0.4133307211
114	0.413049505
115	0.4118328309
116	0.4115209687
117	0.4106139708
118	0.409710059
119	0.4085944958
120	0.4078218267
121	0.406893698
122	0.4062954335
123	0.4053211855
124	0.4046319683
125	0.4038271958
126	0.4030178799
127	0.4022268231
128	0.4017813179
129	0.4009086952
130	0.400173573
131	0.3999464914
132	0.3995061296
133	0.3987228736
134	0.3981668708
135	0.3976460146
136	0.3969413672
137	0.3963209002
138	0.3958581217
139	0.3952662436
140	0.395024246
141	0.3941947851
142	0.3935717465
143	0.3931844904
144	0.39257161
145	0.391762037
146	0.3910953222
147	0.3905513206
148	0.3901587068
149	0.3896385793
150	0.3890449438
