iter	Passed	Remaining
405	4932	7215
406	4936	7193
407	4945	7175
408	4948	7150
409	4959	7136
410	4962	7111
411	4965	7086
412	4970	7064
413	4980	7049
414	4984	7026
415	4994	7011
416	4999	6990
417	5003	6967
418	5008	6944
419	5011	6921
420	5029	6916
421	5041	6905
422	5054	6894
423	5065	6881
424	5069	6858
425	5072	6834
426	5078	6814
427	5132	6859
428	5150	6855
429	5197	6890
430	5218	6889
431	5223	6867
432	5227	6844
433	5238	6831
434	5251	6821
435	5264	6810
436	5280	6802
437	5284	6781
438	5288	6758
439	5291	6734
440	5308	6728
441	5313	6707
442	5322	6692
443	5350	6700
444	5354	6678
445	5359	6657
446	5364	6636
447	5366	6612
448	5381	6604
449	5387	6584
450	5396	6569
451	5407	6556
452	5426	6553
453	5431	6532
454	5439	6515
455	5442	6493
456	5447	6472
457	5462	6464
458	5465	6442
459	5469	6420
460	5475	6401
461	5479	6380
462	5492	6370
463	5499	6352
464	5515	6345
465	5519	6324
466	5535	6318
467	5543	6302
468	5548	6281
469	5552	6261
470	5557	6241
471	5608	6273
472	5612	6253
473	5629	6246
474	5636	6229
475	5641	6210
476	5645	6189
477	5648	6168
478	5693	6192
479	5707	6182
480	5710	6161
481	5720	6147
482	5741	6145
483	5744	6124
484	5748	6104
485	5759	6091
486	5763	6071
487	5767	6050
488	5780	6041
489	5785	6022
490	5787	6000
491	5815	6004
492	5820	5985
493	5823	5965
494	5826	5944
495	5834	5928
496	5854	5924
497	5858	5905
498	5864	5888
499	5876	5876
500	5891	5868
501	5916	5869
502	5920	5850
503	5936	5842
504	6010	5891
505	6014	5871
506	6019	5853
507	6033	5843
508	6036	5823
509	6039	5803
510	6042	5782
511	6045	5762
512	6051	5744
513	6066	5735
514	6085	5731
515	6090	5712
516	6125	5722
517	6134	5707
518	6152	5701
519	6158	5684
520	6161	5664
521	6166	5646
522	6176	5633
523	6196	5628
524	6202	5611
525	6231	5615
526	6236	5597
527	6243	5581
528	6247	5562
529	6254	5546
530	6258	5527
531	6270	5516
532	6276	5499
533	6279	5480
534	6295	5472
535	6304	5457
536	6309	5440
537	6317	5425
538	6323	5408
539	6327	5389
540	6336	5375
541	6349	5365
542	6352	5346
543	6357	5329
544	6360	5310
545	6365	5293
546	6369	5275
547	6375	5258
548	6379	5240
549	6396	5233
550	6403	5218
551	6426	5215
552	6433	5200
553	6439	5184
554	6449	5171
555	6452	5153
556	6458	5137
557	6484	5136
558	6493	5123
559	6497	5105
560	6501	5087
561	6504	5069
562	6513	5056
563	6529	5047
564	6538	5034
565	6544	5018
566	6549	5001
567	6553	4984
568	6565	4973
569	6571	4957
570	6582	4945
571	6590	4931
572	6592	4913
573	6597	4896
574	6606	4883
575	6611	4867
576	6639	4867
577	6650	4855
578	6652	4836
579	6656	4819
580	6666	4807
581	6670	4790
582	6698	4791
583	6711	4780
584	6713	4762
585	6716	4745
586	6723	4730
587	6726	4712
588	6730	4696
589	6745	4687
590	6750	4671
591	6754	4654
592	6762	4641
593	6780	4634
594	6785	4618
595	6793	4605
596	6799	4590
597	6835	4594
598	6861	4593
599	6867	4578
600	6874	4564
601	6879	4548
602	6930	4562
603	6938	4548
604	6942	4532
605	6949	4518
606	6965	4509
607	6976	4497
608	6981	4482
609	6986	4466
610	6992	4451
611	7006	4441
612	7052	4452
613	7059	4438
614	7065	4423
615	7084	4416
616	7101	4407
617	7108	4393
618	7112	4377
619	7133	4372
620	7137	4356
621	7140	4339
622	7144	4323
623	7147	4307
624	7162	4297
625	7180	4289
626	7205	4286
627	7209	4270
628	7225	4261
629	7305	4290
630	7333	4288
631	7337	4272
632	7349	4260
633	7356	4246
634	7361	4231
635	7373	4219
636	7382	4207
637	7391	4194
638	7398	4179
639	7405	4165
640	7411	4151
641	7413	4134
642	7422	4121
643	7454	4120
644	7465	4109
645	7476	4097
646	7486	4084
647	7491	4069
648	7507	4060
649	7518	4048
650	7524	4033
651	7530	4019
652	7537	4005
653	7540	3989
654	7544	3973
655	7562	3965
656	7575	3955
657	7580	3939
658	7584	3924
659	7588	3909
660	7591	3893
661	7595	3878
662	7598	3862
663	7629	3860
664	7637	3847
665	7651	3837
666	7677	3833
667	7692	3823
668	7699	3809
669	7707	3796
670	7710	3780
671	7714	3765
672	7717	3749
673	7726	3736
674	7739	3726
675	7742	3710
676	7746	3695
677	7750	3680
678	7762	3669
679	7772	3657
680	7778	3643
681	7782	3628
682	7796	3618
683	7807	3606
684	7812	3592
685	7825	3582
686	7830	3567
687	7834	3552
688	7839	3538
689	7868	3535
690	7871	3520
691	7882	3508
692	7887	3494
693	7897	3482
694	7971	3498
695	7979	3485
696	7985	3471
697	7990	3457
698	7995	3443
699	7999	3428
700	8025	3423
701	8034	3410
702	8038	3396
703	8042	3381
704	8048	3367
705	8052	3353
706	8064	3342
707	8068	3327
708	8080	3316
709	8090	3304
710	8107	3295
711	8117	3283
712	8123	3269
713	8127	3255
714	8136	3243
715	8140	3229
716	8169	3224
717	8174	3210
718	8201	3205
719	8206	3191
720	8216	3179
721	8228	3168
722	8245	3159
723	8259	3148
724	8263	3134
725	8267	3120
726	8271	3106
727	8276	3092
728	8297	3084
729	8306	3072
730	8313	3059
731	8318	3045
732	8326	3032
733	8345	3024
734	8351	3010
735	8353	2996
736	8377	2989
737	8383	2976
738	8391	2963
739	8394	2949
740	8399	2935
741	8406	2923
742	8410	2909
743	8414	2895
744	8421	2882
745	8449	2877
746	8455	2863
747	8462	2850
748	8465	2837
749	8476	2825
750	8489	2814
751	8494	2801
752	8499	2788
753	8503	2774
754	8566	2779
755	8572	2766
756	8578	2753
757	8584	2740
758	8588	2726
759	8597	2714
760	8613	2705
761	8622	2693
762	8627	2679
763	8643	2669
764	8650	2657
765	8653	2643
766	8664	2632
767	8675	2620
768	8680	2607
769	8683	2593
770	8695	2582
771	8699	2569
772	8709	2557
773	8721	2546
774	8727	2533
775	8741	2523
776	8746	2510
777	8750	2496
778	8754	2483
779	8769	2473
780	8784	2463
781	8833	2462
782	8844	2451
783	8847	2437
784	8851	2424
785	8855	2411
786	8858	2397
787	8884	2390
788	8894	2378
